Date,Open,High,Low,Close
09/30/2024,"2.529%","2.593%","2.518%","2.569%"
09/27/2024,"2.544%","2.568%","2.486%","2.529%"
09/26/2024,"2.583%","2.583%","2.497%","2.544%"
09/25/2024,"2.558%","2.588%","2.556%","2.583%"
09/24/2024,"2.627%","2.657%","2.544%","2.558%"
09/23/2024,"2.703%","2.703%","2.616%","2.627%"
